Role,Category,Task Name,Traffic Light,Justification,Critical Analysis,Nuance & Conditions
Frontend Engineers,UI Components,"Build standard React UI components (buttons, modals, tables, token balance display, transaction history list)",GREEN,"Pure presentational code with no business logic, no private keys, no on-chain calls. Blast radius = zero if wrong.",Too permissive? Edge case: component that renders raw hex from localStorage could leak data.,"Must use only our approved component library + Tailwind. Never hard-code addresses or private keys. If component contains any useEffect with window.ethereum, move to YELLOW."
Frontend Engineers,UI Components,Implement responsive mobile wallet connect button with ENS avatar fallback,YELLOW,Uses standard wagmi hooks; no custom signing.,Challenge: mobile deep-linking to wallets can expose phishing vectors if misimplemented.,Always YELLOW on mainnet projects. GREEN only on internal testnets.
Frontend Engineers,State Management,"Set up Zustand or Jotai store for UI-only state (theme, modals, filters)",GREEN,No sensitive data ever stored.,None – truly harmless.,"Store must never contain wallet address, signature, or private data (enforced by lint rule)."
Frontend Engineers,Wallet Integration,"Configure wagmi/viem connectors (MetaMask, WalletConnect, Coinbase)",YELLOW,Chain configuration and RPC endpoints directly affect user funds. Wrong RPC can enable MITM.,Is it too permissive? Junior could add unvetted custom chain.,RED if adding new custom chain or custom transport logic. Must be senior-approved even for testnet.
Frontend Engineers,Transaction Signing UX,Build transaction confirmation modal with gas estimation preview and simulation link,YELLOW,UX directly precedes user signature; misleading text = social engineering risk.,Could be GREEN if purely cosmetic – but wording matters.,RED for any modal that auto-signs or bypasses user confirmation.
Backend Engineers,APIs,"Build standard REST/GraphQL CRUD endpoints for off-chain data (user profiles, metadata)",GREEN,"No private keys, no funds. Rate-limiting and auth handled at middleware layer.",Edge case: endpoint that returns signed messages.,RED if endpoint signs messages or handles private keys.
Backend Engineers,Database Schemas,Define Prisma/PostgreSQL schemas for non-sensitive tables,GREEN,Pure data model.,None.,RED if schema includes encrypted private keys or seed phrases.
Backend Engineers,Data Indexing & Subgraphs,"Write subgraph schema (entities, relations) and basic mappings for standard events (Transfer, Approval)",YELLOW,Indexing bugs can cause incorrect balances shown to users → indirect financial loss.,Too restrictive? Simple ERC-20 subgraph is deterministic.,GREEN only for internal analytics subgraphs with zero TVL impact. RED for any governance or staking subgraph.
Backend Engineers,Data Indexing & Subgraphs,Optimize subgraph queries with @derivedFrom and indexing hints,GREEN,Performance only; no correctness risk.,None.,None.
Backend Engineers,Off-chain Services,Implement webhook listener for on-chain events (using ethers.js listener),YELLOW,"Can trigger external actions (e.g., airdrop mint).","Challenge: if listener signs transactions, becomes RED.",RED if service ever holds private keys or signs txs.
Solidity Developers,Token Standards,"Implement standard ERC-20, ERC-721, or ERC-1155 using OpenZeppelin Contracts v5",YELLOW,Even “standard” contracts can have supply-cap or minting logic that must be audited.,"Is it too permissive? OpenZeppelin is battle-tested, but custom extensions are not.",GREEN only for exact unmodified OpenZeppelin import with no custom logic. Anything else RED.
Solidity Developers,Core Business Logic,Write staking contract with reward distribution,RED,"Reentrancy, precision loss, reward manipulation = direct fund loss. Blast radius = total TVL.",None – security risk justifies RED.,Remains RED regardless of TVL. Even $1 test contract must be human-written.
Solidity Developers,Core Business Logic,Implement governance (Governor + Timelock) with custom voting strategies,RED,"Governance attacks (flash-loan votes, proposal hijacking) have destroyed protocols.",None.,RED always. No exceptions.
Solidity Developers,Access Control & Permissions,"Add role-based access (Ownable2Step, AccessControl)",YELLOW,Critical but deterministic if using OZ.,Too permissive if custom roles or renounce logic.,RED if any custom renounce or transferOwnership override.
Solidity Developers,Subtle Risk Areas,"Any use of block.timestamp, block.number for critical logic OR randomness (even Chainlink VRF) OR cross-chain bridging OR upgradeable proxy init OR assembly",RED,All known attack vectors. AI hallucinates safe patterns constantly.,None.,Explicitly banned from AI prompts.
DevOps Engineers,Infrastructure,Write Dockerfile and docker-compose for non-production services,GREEN,"No secrets, no production impact.",None.,None.
DevOps Engineers,Infrastructure,"Kubernetes manifests for production (including resource limits, pod security policies)",YELLOW,Misconfigured RBAC or network policies = cluster compromise.,Challenge: simple manifests are safe.,RED for any secret injection or ingress rules.
DevOps Engineers,Secrets Management,"Any configuration involving AWS Secrets Manager, Vault, or private-key injection",RED,One leaked key = total loss.,None.,None.
DevOps Engineers,Monitoring & Logging,Set up Prometheus + Grafana dashboards and Loki logging,GREEN,Observability only.,None.,None.
DevOps Engineers,CI/CD,"Standard GitHub Actions workflow (lint, test, build)",GREEN,Non-destructive.,None.,None.
DevOps Engineers,CI/CD,Production deployment trigger (including multisig or Gnosis Safe signing),RED,Wrong deployment = irreversible on-chain change.,None.,Even “simple” mainnet deploy is RED.
DevOps Engineers,CI/CD,Rollback procedure script,YELLOW,Must be reviewed for correctness.,None.,None.
QA Engineers,Testing,Write unit tests (Jest/Hardhat) for frontend/backend,GREEN,"Tests are verification, not execution.",None.,None.
QA Engineers,Testing,Write Foundry/Hardhat fuzz tests or invariant tests for contracts,YELLOW,Fuzzing logic must be senior-reviewed.,None.,RED for any test that includes private keys or live RPCs.
QA Engineers,Testing,"Run security tools (Slither, Mythril, Aderyn) and interpret results",YELLOW,Interpretation requires human judgment.,None.,None.
QA Engineers,Security & Audit,Manual security review or audit preparation,RED,Cannot be AI-generated.,None.,None.
Cross-role,Documentation,Generate NatSpec comments for contracts,GREEN,Pure comments.,None.,None.
Cross-role,Documentation,Write deployment guide or runbook,GREEN,No code.,None.,None.
Cross-role,Documentation,API documentation containing sensitive endpoint examples or keys,RED,Accidental key leak.,None.,None.
